type_query,rest_time,rest_size
1,0.7603747844696045,25063
1,0.7741711139678955,25063
1,0.7340939044952393,25063
1,0.6596784591674805,25063
1,0.7820398807525635,25063
1,0.6831133365631104,25063
1,0.7668442726135254,25063
1,0.700624942779541,25063
1,0.7168290615081787,25063
1,0.7841360569000244,25063
2,0.7155754566192627,18093
2,0.8339776992797852,18093
2,0.6504969596862793,18093
2,0.648442268371582,18093
2,0.7082502841949463,18093
2,0.8757436275482178,18093
2,0.6505835056304932,18093
2,0.6670382022857666,18093
2,0.6165790557861328,18093
2,0.6671454906463623,18093
3,0.8839917182922363,78438
3,0.88423752784729,78438
3,0.74924635887146,78438
3,0.712437629699707,78438
3,0.7530715465545654,78438
3,0.7445354461669922,78438
3,0.8001377582550049,78438
3,0.7705326080322266,78438
3,0.73046875,78438
3,0.7175841331481934,78438
4,27.27361512184143,255085
4,23.32535195350647,255085
4,23.848576068878174,255085
4,24.556408643722534,255085
4,26.0483181476593,255085
4,22.58794927597046,255085
4,22.656838417053223,255085
4,22.8444242477417,255085
4,22.693170309066772,255085
4,24.20384907722473,255085
